color,rank,name,eco_code,eco_key,games,wins,losses,draws,win_pct,priority,group_by,depth
black,51,A40  Modern Defense with,A40,,160,89,60,11,55.6,0,eco,3
black,52,B00  Kings Pawn Opening,B00,,20,10,10,0,50.0,0,eco,3
black,53,A02  Birds Opening,A02,,10,8,2,0,80.0,0,eco,3
black,54,B23  Closed Sicilian Defense Grand,B23,,16,13,2,1,81.2,0,eco,3
black,55,B22  Alapin Sicilian Defense...8.O O,B22,,15,11,4,0,73.3,0,eco,3
black,56,E00  Indian Game East Indian,E00,,11,5,4,2,45.5,0,eco,3
black,57,C54  Giuoco Piano Game Center,C54,,27,18,5,4,66.7,0,eco,3
black,58,E61  Kings Indian Defense Normal,E61,,10,8,1,1,80.0,0,eco,3
black,59,A48  Indian Game Knights Variation,A48,,63,39,20,4,61.9,0,eco,3
black,60,A49  Indian Game East Indian,A49,,26,13,13,0,50.0,0,eco,3
black,61,D32  Tarrasch Defense Two Knights,D32,,13,10,2,1,76.9,0,eco,3
black,62,A07  Kings Indian Attack Double,A07,,13,7,5,1,53.8,0,eco,3
black,63,C71  Ruy Lopez Opening Morphy,C71,,20,13,6,1,65.0,0,eco,3
black,64,C72  Ruy Lopez Opening Morphy,C72,,41,28,12,1,68.3,0,eco,3
