color,rank,name,eco_code,eco_key,games,wins,losses,draws,win_pct,priority,group_by,depth
black,43,C70  Ruy Lopez Opening Morphy,C70,,14,9,5,0,64.3,0,eco,3
black,44,C55  Italian Game Two Knights,C55,,83,43,36,4,51.8,0,eco,3
black,45,C60  Ruy Lopez Opening,C60,,12,5,7,0,41.7,0,eco,3
black,46,C48  Four Knights Game Spanish,C48,,95,48,43,4,50.5,0,eco,3
black,47,D03  Queens Pawn Opening Torre,D03,,14,6,8,0,42.9,0,eco,3
black,48,D38  Queens Gambit Declined Ragozin,D38,,41,21,17,3,51.2,0,eco,3
black,49,C77  Ruy Lopez Opening Morphy,C77,,40,21,17,2,52.5,0,eco,3
black,50,E00  Indian Game East Indian,E00,,26,15,9,2,57.7,0,eco,3
black,51,D04  Colle System,D04,,15,10,5,0,66.7,0,eco,3
black,52,A15  English Opening Anglo Indian,A15,,13,5,8,0,38.5,0,eco,3
black,53,D50  Queens Gambit Declined Modern,D50,,13,7,6,0,53.8,0,eco,3
