color,rank,name,eco_code,eco_key,games,wins,losses,draws,win_pct,priority,group_by,depth
black,26,Kings Fianchetto Opening,,Kings-Fianchetto-Opening,33,15,16,2,45.5,66.0,url,3
black,27,Kings Gambit,,Kings-Gambit,29,13,14,2,44.8,58.0,url,3
black,28,Colle System,,Colle-System,23,11,12,0,47.8,46.0,url,3
black,29,English Opening Anglo,,English-Opening-Anglo,23,10,13,0,43.5,46.0,url,3
black,30,Indian Game London,,Indian-Game-London,21,9,12,0,42.9,42.0,url,3
black,31,Reti Opening Black,,Reti-Opening-Black,20,9,11,0,45.0,40.0,url,3
black,32,English Opening Kings,,English-Opening-Kings,17,7,10,0,41.2,34.0,url,3
black,33,Indian Game Yusupov,,Indian-Game-Yusupov,11,4,7,0,36.4,10.7,url,3
black,34,Reti Opening,,Reti-Opening,10,7,3,0,70.0,0,url,3
black,35,Four Knights Game,,Four-Knights-Game,244,120,116,8,49.2,0,url,3
black,36,Vienna Game Falkbeer,,Vienna-Game-Falkbeer,27,13,14,0,48.1,0,url,3
black,37,Kings Gambit Declined,,Kings-Gambit-Declined,60,33,26,1,55.0,0,url,3
black,38,Van Geet Opening,,Van-Geet-Opening,10,5,5,0,50.0,0,url,3
black,39,Three Knights Opening,,Three-Knights-Opening,25,13,11,1,52.0,0,url,3
black,40,Italian Game,,Italian-Game,24,13,11,0,54.2,0,url,3
black,41,Scotch Game,,Scotch-Game,60,31,29,0,51.7,0,url,3
black,42,Giuoco Piano Game,,Giuoco-Piano-Game,531,258,256,17,48.6,0,url,3
black,43,Vienna Game Max,,Vienna-Game-Max,113,60,48,5,53.1,0,url,3
black,44,Kings Indian Attack,,Kings-Indian-Attack,12,6,6,0,50.0,0,url,3
black,45,Nimzowitsch Defense Kennedy,,Nimzowitsch-Defense-Kennedy,13,8,5,0,61.5,0,url,3
black,46,Scotch Game Scotch,,Scotch-Game-Scotch,62,31,29,2,50.0,0,url,3
black,47,Kings Indian Attack...3.Bg2,,Kings-Indian-Attack...3.Bg2,10,4,6,0,40.0,0,url,3
black,48,Scotch Game Schmidt,,Scotch-Game-Schmidt,34,17,13,4,50.0,0,url,3
black,49,Italian Game Traxler,,Italian-Game-Traxler,272,144,120,8,52.9,0,url,3
black,50,Italian Game Two,,Italian-Game-Two,66,34,28,4,51.5,0,url,3
black,51,Trompowsky Attack,,Trompowsky-Attack,26,13,11,2,50.0,0,url,3
black,52,Indian Game East,,Indian-Game-East,28,15,11,2,53.6,0,url,3
black,53,Queens Indian Defense,,Queens-Indian-Defense,12,6,5,1,50.0,0,url,3
black,54,Giuoco Piano Game...6.c3,,Giuoco-Piano-Game...6.c3,11,5,6,0,45.5,0,url,3
black,55,Kings Indian Defense,,Kings-Indian-Defense,10,4,5,1,40.0,0,url,3
