color,rank,name,eco_code,eco_key,games,wins,losses,draws,win_pct,priority,group_by,depth
black,55,Center Game Accepted Paulsen,,Center-Game-Accepted-Paulsen,15,11,4,0,73.3,0,url,4
black,56,Indian Game Knights Variation,,Indian-Game-Knights-Variation,38,21,14,3,55.3,0,url,4
black,57,Kings Pawn Opening,,Kings-Pawn-Opening,18,9,8,1,50.0,0,url,4
black,58,Indian Game East Indian,,Indian-Game-East-Indian,51,27,23,1,52.9,0,url,4
black,59,Giuoco Piano Game Center,,Giuoco-Piano-Game-Center,30,21,5,4,70.0,0,url,4
black,60,Reti Opening Kingside Fianchetto,,Reti-Opening-Kingside-Fianchetto,30,17,13,0,56.7,0,url,4
black,61,Modern Defense Standard Two,,Modern-Defense-Standard-Two,14,6,7,1,42.9,0,url,4
black,62,Torre Attack Fianchetto Defense,,Torre-Attack-Fianchetto-Defense,11,9,1,1,81.8,0,url,4
black,63,Scotch Game Classical Potter,,Scotch-Game-Classical-Potter,10,7,1,2,70.0,0,url,4
black,64,Reti Opening Nimzo Larsen,,Reti-Opening-Nimzo-Larsen,14,7,7,0,50.0,0,url,4
black,65,Queens Pawn Opening Pseudo,,Queens-Pawn-Opening-Pseudo,11,5,6,0,45.5,0,url,4
black,66,Modern Defense Standard Line...4.Be3,,Modern-Defense-Standard-Line...4.Be3,13,12,1,0,92.3,0,url,4
black,67,Scotch Game Classical Variation,,Scotch-Game-Classical-Variation,20,12,5,3,60.0,0,url,4
black,68,Caro Kann Defense De,,Caro-Kann-Defense-De,10,7,2,1,70.0,0,url,4
black,69,Tarrasch Defense Two Knights,,Tarrasch-Defense-Two-Knights,11,8,2,1,72.7,0,url,4
