priority_rank,name,color,eco_code,priority_score,win_pct,games_in_priority,games_loaded,raw_junctions,consistent_junctions,skipped_junctions,skip_reasons,too_diverse,pdf_generated
1,Alapin Sicilian Defense,white,Alapin-Sicilian-Defense,1272.1,38.9,162,176,6,4,2,SF contradicts data — Nf3 (67% win) is -43cp vs SF best | SF contradicts data — f3 (33% win) is -101cp vs SF best,,yes
2,Indian Game,black,Indian-Game,1118.9,41.2,194,323,9,7,2,SF contradicts data — Nc6 (100% win) is -42cp vs SF best | SF contradicts data — Bb4 (50% win) is -61cp vs SF best,,yes
3,Caro Kann Defense,white,Caro-Kann-Defense,677.2,43.3,187,561,20,13,7,SF contradicts data — h3 (71% win) is -51cp vs SF best | SF contradicts data — Bf4 (67% win) is -70cp vs SF best | SF contradicts data — h3 (75% win) is -78cp vs SF best | SF contradicts data — c3 (60% win) is -39cp vs SF best | SF contradicts data — h3 (60% win) is -34cp vs SF best | SF contradicts data — c3 (31% win) is -37cp vs SF best | SF contradicts data — h3 (75% win) is -74cp vs SF best,,yes
4,Center Game,black,Center-Game,611.0,19.2,26,74,1,1,0,,,yes
5,Ruy Lopez Opening Berlin,black,Ruy-Lopez-Opening-Berlin,542.2,42.9,147,23,1,1,0,,,yes
6,Giuoco Piano Game Giuoco,black,Giuoco-Piano-Game-Giuoco,516.0,45.7,258,258,6,5,1,SF contradicts data — Na5 (100% win) is -96cp vs SF best,,yes
7,Ponziani Opening Jaenisch Counterattack,black,Ponziani-Opening-Jaenisch-Counterattack,513.3,39.5,86,86,4,3,1,SF contradicts data — dxc3 (56% win) is -378cp vs SF best,,yes
8,Giuoco Piano Game,white,Giuoco-Piano-Game,413.4,35.4,48,664,28,20,8,SF contradicts data — Nxe5 (60% win) is -336cp vs SF best | SF contradicts data — d4 (100% win) is -32cp vs SF best | SF contradicts data — Ng5 (50% win) is -65cp vs SF best | SF contradicts data — Bg5 (75% win) is -21cp vs SF best | SF contradicts data — Nbd2 (100% win) is -67cp vs SF best | SF contradicts data — Ne2 (100% win) is -22cp vs SF best | SF contradicts data — Nbd2 (62% win) is -25cp vs SF best | SF contradicts data — d3 (56% win) is -25cp vs SF best,,yes
9,Modern Defense with,white,Modern-Defense-with,345.4,34.2,38,38,2,1,1,SF contradicts data — Nc3 (67% win) is -33cp vs SF best,,yes
10,Italian Game Traxler Bishop,black,Italian-Game-Traxler-Bishop,316.2,41.7,84,84,2,0,2,SF contradicts data — d5 (67% win) is -108cp vs SF best | SF contradicts data — d5 (100% win) is -146cp vs SF best,,no
11,Caro Kann Defense,black,Caro-Kann-Defense,300.8,29.2,24,36,0,0,0,,yes,no
12,Birds Opening,black,Birds-Opening,287.0,23.5,17,23,2,1,1,SF contradicts data — f6 (67% win) is -59cp vs SF best,,yes
13,Four Knights Game Italian,black,Four-Knights-Game-Italian,283.7,36.6,41,40,1,1,0,,,yes
14,Kings Pawn Opening,black,Kings-Pawn-Opening,280.0,47.1,140,212,3,2,1,SF contradicts data — Bc5 (43% win) is -57cp vs SF best,,yes
15,Van t Kruijs Opening,black,Van-t-Kruijs-Opening,276.9,37.2,43,43,1,0,1,SF contradicts data — e4 (75% win) is -29cp vs SF best,,no
16,Queens Gambit Declined Marshall,black,Queens-Gambit-Declined-Marshall,239.7,25.0,16,13,0,0,0,,,no
17,London System,black,London-System,218.5,35.5,31,31,0,0,0,,yes,no
18,Queens Pawn Opening Chigorin,black,Queens-Pawn-Opening-Chigorin,206.0,44.7,103,95,3,3,0,,,yes
19,Bishops Opening Berlin Vienna,black,Bishops-Opening-Berlin-Vienna,204.0,44.1,102,102,4,4,0,,,yes
20,Bishops Opening,black,Bishops-Opening,182.0,46.2,91,199,6,5,1,SF contradicts data — Nc6 (45% win) is -21cp vs SF best,,yes
